# Average strain over simulation: 0.021652
# Frame	Strain
727	0.0177282
728	0.0177127
729	0.0176974
730	0.017682
731	0.0176662
732	0.017651
733	0.0176352
734	0.0176195
735	0.0176033
736	0.0175877
737	0.0175716
738	0.0175561
739	0.0175407
740	0.0175248
741	0.0175095
742	0.0174949
743	0.0174797
744	0.0174641
745	0.017449
746	0.017434
747	0.0174191
748	0.0174042
749	0.0173894
750	0.0173746
751	0.0173599
752	0.0173447
753	0.0173302
754	0.0173162
755	0.0173017
756	0.0172873
757	0.0172724
758	0.0172581
759	0.0172438
760	0.0172296
761	0.0172155
762	0.0172009
763	0.0171868
764	0.0171729
765	0.0171584
766	0.0171446
767	0.0171313
768	0.0171175
769	0.0171038
770	0.0170902
771	0.0170766
772	0.0170641
773	0.0170511
774	0.0170372
775	0.0170238
776	0.01701
777	0.0169967
778	0.0169835
779	0.0169703
780	0.016957
781	0.0169436
782	0.0169306
783	0.0169177
784	0.0169048
785	0.0168919
786	0.0168786
787	0.0168659
788	0.0168533
789	0.0168402
790	0.0168277
791	0.0168152
792	0.0168027
793	0.0167903
794	0.0167774
795	0.0167651
796	0.0167528
797	0.01674
798	0.0167278
799	0.0167156
800	0.0167034
801	0.0166913
802	0.0166789
803	0.0166669
804	0.0166555
805	0.0166441
806	0.0166319
807	0.0166201
808	0.0166084
809	0.0165968
810	0.0165847
811	0.0165732
812	0.0165617
813	0.0165498
814	0.0165388
815	0.0165279
816	0.016517
817	0.0165062
818	0.0164948
819	0.016485
820	0.0164753
821	0.0164652
822	0.0164559
823	0.0164463
824	0.0164363
825	0.0164268
826	0.016417
827	0.0164075
828	0.0163981
829	0.0163884
830	0.0163791
831	0.0163698
832	0.0163602
833	0.0163513
834	0.0163422
835	0.0163331
836	0.0163237
837	0.0163146
838	0.0163056
839	0.016297
840	0.0162878
841	0.0162789
842	0.0162701
843	0.0162609
844	0.0162522
845	0.0162435
846	0.0162348
847	0.0162258
848	0.0162172
849	0.0162087
850	0.0162002
851	0.0161917
852	0.016183
853	0.0161746
854	0.0161662
855	0.0161582
856	0.0161499
857	0.0161417
858	0.0161341
859	0.0161263
860	0.0161181
861	0.0161103
862	0.0161026
863	0.0160946
864	0.0160869
865	0.016079
866	0.0160714
867	0.0160635
868	0.0160557
869	0.0160482
870	0.0160401
871	0.0160327
872	0.0160247
873	0.016018
874	0.0160115
875	0.0160049
876	0.0159983
877	0.0159917
878	0.0159854
879	0.015981
880	0.0159765
881	0.0159721
882	0.0159678
883	0.0159634
884	0.0159591
885	0.0159548
886	0.0159506
887	0.0159466
888	0.0159424
889	0.0159384
890	0.0159343
891	0.0159302
892	0.0159261
893	0.0159222
894	0.0159196
895	0.0159169
896	0.0159143
897	0.0159118
898	0.0159093
899	0.0159068
900	0.0159043
901	0.0159018
902	0.0158995
903	0.0158972
904	0.0158948
905	0.0158924
906	0.0158907
907	0.0158886
908	0.0158864
909	0.0158842
910	0.015882
911	0.0158798
912	0.0158776
913	0.0158755
914	0.0158734
915	0.0158714
916	0.0158695
917	0.0158674
918	0.0158654
919	0.0158635
920	0.0158615
921	0.0158596
922	0.0158577
923	0.0158558
924	0.0158539
925	0.0158521
926	0.0158504
927	0.0158486
928	0.0158469
929	0.0158453
930	0.0158436
931	0.015842
932	0.0158404
933	0.0158388
934	0.0158372
935	0.0158357
936	0.0158342
937	0.0158327
938	0.0158312
939	0.0158298
940	0.0158284
941	0.015827
942	0.0158256
943	0.0158243
944	0.0158229
945	0.0158216
946	0.0158205
947	0.0158193
948	0.0158181
949	0.0158169
950	0.0158157
951	0.0158146
952	0.0158135
953	0.0158124
954	0.0158114
955	0.0158103
956	0.0158093
957	0.0158083
958	0.0158073
959	0.0158064
960	0.0158055
961	0.0158046
962	0.0158037
963	0.0158029
964	0.015802
965	0.0158012
966	0.0158004
967	0.0157997
968	0.015799
969	0.0157983
970	0.0157976
971	0.0157969
972	0.0157963
973	0.0157956
974	0.015795
975	0.0157945
976	0.0157939
977	0.0157934
978	0.0157929
979	0.0157924
980	0.015792
981	0.0157915
982	0.0157911
983	0.0157908
984	0.0157904
985	0.01579
986	0.0157897
987	0.0157894
988	0.0157891
989	0.0157889
990	0.0157886
991	0.0157884
992	0.0157882
993	0.0157881
994	0.0157879
995	0.0157878
996	0.0157877
997	0.0157876
998	0.0157875
999	0.0157875
1000	0.0157874
1001	0.0157874
1002	0.0157875
1003	0.0157875
1004	0.0157876
1005	0.0157876
1006	0.0157877
1007	0.0157879
1008	0.015788
1009	0.0157882
1010	0.0157884
1011	0.0157886
1012	0.0157888
1013	0.015789
1014	0.0157893
1015	0.0157896
1016	0.0157899
1017	0.0157902
1018	0.0157905
1019	0.0157909
1020	0.0157913
1021	0.0157917
1022	0.0157921
1023	0.0157926
1024	0.015793
1025	0.0157935
1026	0.015794
1027	0.0157946
1028	0.0157951
1029	0.0157957
1030	0.0157963
1031	0.0157969
1032	0.0157975
1033	0.0157981
1034	0.0157987
1035	0.0157994
1036	0.0158001
1037	0.0158008
1038	0.0158015
1039	0.0158023
1040	0.015803
1041	0.0158038
1042	0.0158046
1043	0.0158055
1044	0.0158063
1045	0.0158072
1046	0.0158081
1047	0.0158089
1048	0.0158099
1049	0.0158108
1050	0.0158118
1051	0.0158127
1052	0.0158137
1053	0.0158148
1054	0.0158158
1055	0.0158168
1056	0.0158179
1057	0.0158189
1058	0.01582
1059	0.0158211
1060	0.0158229
1061	0.0158246
1062	0.0158264
1063	0.0158281
1064	0.0158299
1065	0.015832
1066	0.0158343
1067	0.0158365
1068	0.0158389
1069	0.0158411
1070	0.0158435
1071	0.0158459
1072	0.0158482
1073	0.0158506
1074	0.015853
1075	0.0158554
1076	0.0158578
1077	0.0158603
1078	0.0158626
1079	0.015865
1080	0.0158675
1081	0.01587
1082	0.0158726
1083	0.0158751
1084	0.0158776
1085	0.0158802
1086	0.0158828
1087	0.0158854
1088	0.015888
1089	0.0158906
1090	0.0158933
1091	0.0158959
1092	0.0158988
1093	0.0159019
1094	0.015905
1095	0.0159081
1096	0.0159112
1097	0.0159144
1098	0.0159176
1099	0.0159208
1100	0.0159239
1101	0.015927
1102	0.0159302
1103	0.0159335
1104	0.0159367
1105	0.0159399
1106	0.0159431
1107	0.0159464
1108	0.0159497
1109	0.0159531
1110	0.0159564
1111	0.0159596
1112	0.0159628
1113	0.0159662
1114	0.0159696
1115	0.0159729
1116	0.0159763
1117	0.0159797
1118	0.0159829
1119	0.0159863
1120	0.0159898
1121	0.0159931
1122	0.0159963
1123	0.0159998
1124	0.0160034
1125	0.0160068
1126	0.0160098
1127	0.0160128
1128	0.0160163
1129	0.01602
1130	0.0160236
1131	0.0160271
1132	0.0160307
1133	0.0160343
1134	0.0160388
1135	0.0160433
1136	0.0160479
1137	0.0160524
1138	0.0160568
1139	0.0160614
1140	0.016066
1141	0.0160706
1142	0.0160751
1143	0.0160797
1144	0.0160844
1145	0.016089
1146	0.0160936
1147	0.0160983
1148	0.0161029
1149	0.0161076
1150	0.0161121
1151	0.0161168
1152	0.0161214
1153	0.0161261
1154	0.0161308
1155	0.0161355
1156	0.0161403
1157	0.016145
1158	0.0161497
1159	0.0161545
1160	0.0161592
1161	0.0161638
1162	0.0161686
1163	0.0161733
1164	0.0161781
1165	0.0161826
1166	0.0161874
1167	0.0161922
1168	0.016197
1169	0.0162016
1170	0.0162066
1171	0.0162113
1172	0.0162161
1173	0.0162212
1174	0.0162259
1175	0.0162307
1176	0.0162356
1177	0.0162405
1178	0.0162454
1179	0.0162503
1180	0.016255
1181	0.01626
1182	0.0162651
1183	0.01627
1184	0.016275
1185	0.01628
1186	0.0162855
1187	0.0162911
1188	0.0162966
1189	0.0163021
1190	0.0163076
1191	0.0163132
1192	0.0163187
1193	0.0163243
1194	0.0163299
1195	0.0163354
1196	0.016341
1197	0.0163466
1198	0.0163522
1199	0.0163578
1200	0.0163633
1201	0.016369
1202	0.0163747
1203	0.0163803
1204	0.0163859
1205	0.0163916
1206	0.0163972
1207	0.0164031
1208	0.0164086
1209	0.016414
1210	0.0164197
1211	0.0164254
1212	0.0164311
1213	0.0164366
1214	0.0164423
1215	0.0164482
1216	0.016454
1217	0.0164597
1218	0.0164652
1219	0.016471
1220	0.0164767
1221	0.0164825
1222	0.0164882
1223	0.016494
1224	0.0164999
1225	0.0165058
1226	0.0165116
1227	0.0165174
1228	0.016523
1229	0.0165288
1230	0.0165349
1231	0.0165407
1232	0.0165463
1233	0.0165521
1234	0.016558
1235	0.0165639
1236	0.0165697
1237	0.0165758
1238	0.0165815
1239	0.0165874
1240	0.0165932
1241	0.0165991
1242	0.016605
1243	0.016611
1244	0.016617
1245	0.016623
1246	0.0166287
1247	0.0166347
1248	0.0166406
1249	0.0166465
1250	0.0166525
1251	0.0166585
1252	0.0166642
1253	0.0166699
1254	0.0166757
1255	0.0166817
1256	0.0166877
1257	0.0166934
1258	0.0166995
1259	0.0167055
1260	0.0167113
1261	0.0167173
1262	0.0167233
1263	0.0167296
1264	0.0167356
1265	0.0167417
1266	0.0167479
1267	0.016754
1268	0.0167601
1269	0.0167661
1270	0.0167722
1271	0.0167781
1272	0.0167839
1273	0.01679
1274	0.0167964
1275	0.0168025
1276	0.0168086
1277	0.0168147
1278	0.0168208
1279	0.016827
1280	0.0168333
1281	0.0168395
1282	0.0168456
1283	0.016852
1284	0.0168582
