# Average strain over simulation: 0.0282424
# Frame	Strain
554	0.0190458
555	0.019125
556	0.0191995
557	0.019289
558	0.0193736
559	0.0194584
560	0.0195334
561	0.0196235
562	0.0197137
563	0.0197991
564	0.0198897
565	0.0199653
566	0.0200561
567	0.0201421
568	0.0202332
569	0.0203246
570	0.0203957
571	0.0204873
572	0.0205791
573	0.0206671
574	0.0207579
575	0.0208348
576	0.0209271
577	0.0210145
578	0.021102
579	0.0211948
580	0.0212722
581	0.0213483
582	0.0214015
583	0.0214913
584	0.021583
585	0.0216662
586	0.0217547
587	0.0218485
588	0.0219425
589	0.0220366
590	0.0221152
591	0.0221991
592	0.0222379
593	0.0222157
594	0.022199
595	0.022184
596	0.0221713
597	0.0221566
598	0.0221414
599	0.0221255
600	0.0221104
601	0.0220967
602	0.0220817
603	0.0220662
604	0.0220507
605	0.0220359
606	0.0220244
607	0.0220098
608	0.0219946
609	0.0219801
610	0.021965
611	0.0219519
612	0.0219376
613	0.021924
614	0.0219092
615	0.0218945
616	0.021881
617	0.0218695
618	0.0218549
619	0.021841
620	0.0218272
621	0.0218129
622	0.021801
623	0.0217867
624	0.0217725
625	0.0217596
626	0.0217461
627	0.0217345
628	0.0217205
629	0.0217067
630	0.0216928
631	0.021679
632	0.0216665
633	0.0216546
634	0.021641
635	0.0216274
636	0.0216145
637	0.0216011
638	0.02159
639	0.0215777
640	0.0215656
641	0.0215534
642	0.0215403
643	0.0215288
644	0.0215157
645	0.0215022
646	0.0214897
647	0.0214768
648	0.0214656
649	0.0214533
650	0.0214405
651	0.0214278
652	0.0214152
653	0.0214036
654	0.0213926
655	0.0213801
656	0.0213676
657	0.0213557
658	0.0213433
659	0.021333
660	0.0213238
661	0.0213231
662	0.0213251
663	0.0213271
664	0.0213285
665	0.0213304
666	0.0213322
667	0.0213339
668	0.0213356
669	0.0213371
670	0.0213388
671	0.0213404
672	0.0213417
673	0.0213434
674	0.0213448
675	0.0213462
676	0.0213476
677	0.0213495
678	0.021352
679	0.0213541
680	0.0213563
681	0.0213586
682	0.0213609
683	0.0213631
684	0.0213651
685	0.0213672
686	0.0213694
687	0.0213715
688	0.0213737
689	0.0213758
690	0.0213775
691	0.0213795
692	0.0213815
693	0.0213835
694	0.0213856
695	0.0213872
696	0.0213892
697	0.0213911
698	0.0213929
699	0.0213948
700	0.0213965
701	0.0213983
702	0.0214002
703	0.0214019
704	0.0214037
705	0.0214052
706	0.0214069
707	0.0214086
708	0.0214103
709	0.0214119
710	0.0214135
711	0.0214149
712	0.0214164
713	0.0214178
714	0.0214191
715	0.0214205
716	0.0214213
717	0.021423
718	0.0214243
719	0.0214258
720	0.0214271
721	0.021428
722	0.0214295
723	0.021434
724	0.0214382
725	0.0214424
726	0.0214459
727	0.0214498
728	0.0214539
729	0.0214581
730	0.0214621
731	0.0214657
732	0.0214697
733	0.0214738
734	0.0214774
735	0.0214812
736	0.0214844
737	0.0214883
738	0.0214919
739	0.0214949
740	0.0214981
741	0.0215015
742	0.021505
743	0.0215083
744	0.0215116
745	0.0215151
746	0.0215182
747	0.0215212
748	0.0215246
749	0.021529
750	0.021534
751	0.0215387
752	0.0215425
753	0.0215472
754	0.0215519
755	0.0215564
756	0.0215609
757	0.0215649
758	0.0215693
759	0.0215735
760	0.0215778
761	0.0215819
762	0.0215849
763	0.021589
764	0.0215931
765	0.0215971
766	0.0216009
767	0.0216042
768	0.021608
769	0.021612
770	0.0216154
771	0.0216188
772	0.0216217
773	0.0216251
774	0.0216285
775	0.021632
776	0.0216354
777	0.0216383
778	0.0216413
779	0.0216452
780	0.02165
781	0.0216549
782	0.0216593
783	0.0216629
784	0.0216675
785	0.021672
786	0.0216764
787	0.0216802
788	0.0216842
789	0.0216887
790	0.0216931
791	0.0216975
792	0.0217016
793	0.021705
794	0.0217094
795	0.0217136
796	0.02172
797	0.0217262
798	0.0217301
799	0.0217361
800	0.0217421
801	0.021748
802	0.0217528
803	0.0217569
804	0.0217629
805	0.0217697
806	0.0217766
807	0.0217834
808	0.0217892
809	0.0217962
810	0.0218031
811	0.0218099
812	0.0218167
813	0.0218217
